
# number of atoms and geometry (in a.u.)
    3
    O       0.000000000000       0.000000000000      -0.736439502472
    H      -1.445931510274       0.000000000000       0.368218806373
    H       1.445931510274       0.000000000000       0.368218806373

# number of quasi-relativistic states and their energies (in a.u.)
   12
    1     -75.721977214741
    2     -75.721977214741
    3     -75.636882249981
    4     -75.636882249981
    5     -75.457675023492
    6     -75.457675023492
    7     -75.190315358669
    8     -75.190315358668
    9     -75.181295094134
   10     -75.181295094134
   11     -75.125026321385
   12     -75.125026321385

# magnetic moment matrix elements '1/2 * (g_e * S + L)' (in a.u.; x,y,z order; (real,imag) format)
   10   11     (  7.760388317365e-02 ,  2.677076962542e-02 ) ( -7.998109203636e-05 ,  2.326257538144e-04 ) (  5.497854369440e-04 ,  6.880768865986e-08 )
   10   12     (  1.657100656426e-01 ,  2.094058520104e-05 ) ( -6.256328437331e-08 , -4.947265468836e-04 ) ( -2.574705772669e-04 , -8.881739876287e-05 )
   11    1     ( -3.880964144060e-07 , -6.460102038232e-10 ) ( -9.313109209276e-11 ,  5.593462622629e-08 ) (  1.373793996040e-04 , -1.902327207037e-14 )
   11    2     (  4.985425383715e-04 , -3.670188175393e-15 ) ( -2.686076611097e-15 ,  7.185916348622e-05 ) (  1.069446162125e-07 ,  1.780730807359e-10 )
   11    3     ( -1.583151919323e-08 ,  9.508494752321e-06 ) ( -1.946398772617e-06 , -3.240738704894e-09 ) ( -3.376800675567e-15 , -2.887002291027e-03 )
   11    4     ( -1.167407748895e-14 , -1.221447768134e-02 ) ( -2.500316284938e-03 , -3.212460575340e-14 ) (  3.741918108778e-09 , -2.247421556112e-06 )
   11    5     (  6.876816117508e-10 , -4.130207294680e-07 ) ( -1.208095941649e-06 , -2.012401021997e-09 ) ( -5.488666369363e-16 , -4.564111010483e-02 )
   11    6     (  5.957497139578e-14 , -5.305571082314e-04 ) (  1.551903126568e-03 , -1.049046314596e-15 ) ( -5.915625038263e-08 ,  3.552982313383e-05 )
   11    7     ( -2.323724004061e-03 ,  1.085388225679e-02 ) (  2.860922658854e-05 ,  6.857250422075e-06 ) ( -5.297462290802e-09 , -2.180196093541e-03 )
   11    8     (  1.794860327881e-06 , -7.496439539214e-01 ) ( -2.214079032965e-03 ,  5.301690409145e-09 ) ( -6.752455208813e-06 , -3.156645067257e-05 )
   11    9     (  1.657100656441e-01 ,  2.094058523859e-05 ) ( -6.256329104760e-08 , -4.947265469410e-04 ) ( -2.574705772379e-04 , -8.881739873145e-05 )
   11   10     (  7.760388317365e-02 , -2.677076962542e-02 ) ( -7.998109203636e-05 , -2.326257538144e-04 ) (  5.497854369440e-04 , -6.880768865986e-08 )
   11   11     ( -7.849088294095e-04 ,  0.000000000000e+00 ) ( -1.297599463967e-06 ,  8.246936289829e-21 ) ( -5.005211495706e-01 ,  0.000000000000e+00 )
   11   12     (  5.041411270976e-01 , -1.017321967631e-09 ) ( -1.010133790683e-09 ,  5.005682649910e-01 ) ( -7.792728049443e-04 , -1.297478902885e-06 )
   12    1     (  4.985425383964e-04 , -3.591011812282e-17 ) ( -2.748712629301e-15 , -7.185916348579e-05 ) (  1.069446110262e-07 , -1.780731821447e-10 )
   12    2     (  3.880963947346e-07 , -6.459888235592e-10 ) (  9.313103275018e-11 ,  5.593462652184e-08 ) ( -1.373793996024e-04 , -2.145680371699e-14 )
   12    3     (  3.219237192188e-14 , -1.221447768133e-02 ) (  2.500316284939e-03 , -3.351338711153e-14 ) ( -3.741918148528e-09 , -2.247421555714e-06 )
   12    4     ( -1.583151640460e-08 , -9.508494750108e-06 ) ( -1.946398776804e-06 ,  3.240738836741e-09 ) ( -2.083382237176e-15 ,  2.887002291025e-03 )
   12    5     (  5.951874802239e-16 ,  5.305571081636e-04 ) (  1.551903126571e-03 , -1.057883710933e-15 ) ( -5.915625068031e-08 , -3.552982312521e-05 )
   12    6     ( -6.876715439944e-10 , -4.130207377178e-07 ) (  1.208095959110e-06 , -2.012401231405e-09 ) ( -7.357943452810e-15 , -4.564111010483e-02 )
   12    7     ( -1.794860281290e-06 , -7.496439539215e-01 ) (  2.214079032981e-03 ,  5.301672960305e-09 ) (  6.752455203260e-06 , -3.156645067901e-05 )
   12    8     ( -2.323724004025e-03 , -1.085388225711e-02 ) (  2.860922658480e-05 , -6.857250422119e-06 ) ( -5.297442608088e-09 ,  2.180196093677e-03 )
   12    9     ( -7.760388317442e-02 , -2.677076962538e-02 ) (  7.998109202437e-05 , -2.326257537716e-04 ) ( -5.497854369611e-04 , -6.880768795262e-08 )
   12   10     (  1.657100656426e-01 , -2.094058520104e-05 ) ( -6.256328437331e-08 ,  4.947265468836e-04 ) ( -2.574705772669e-04 ,  8.881739876287e-05 )
   12   11     (  5.041411270976e-01 ,  1.017321967631e-09 ) ( -1.010133790683e-09 , -5.005682649910e-01 ) ( -7.792728049443e-04 ,  1.297478902885e-06 )
   12   12     (  7.849088294893e-04 ,  0.000000000000e+00 ) (  1.297599463965e-06 , -4.396987493452e-20 ) (  5.005211495706e-01 ,  0.000000000000e+00 )

# A tensor matrix elements (in a.u.; x,y,z order; (real,imag) format)
# nucleus 1 (O atom; P (g_e*g_N*beta_e*beta_N) = -72.3588)
